year,make,model,price,mileage
2019,GMC,Acadia SLT-1,28580,29160
2018,Chevrolet,Equinox 1LT,19780,29786
2018,GMC,Terrain Denali,29160,27973
2018,Cadillac,XT5 Premium Luxury,27810,28380
2018,GMC,Terrain SLE,19780,20540
2018,Chevrolet,Equinox Premier,24290,12548
2017,Hyundai,Sonata Sport,17230,29610
2018,Hyundai,Tucson SEL,15491,17490
2018,Nissan,Murano SV,21998,34453
2018,Honda,Accord Sport 2.0T,23516,14328
2019,Hyundai,Sonata Sport,21750,2512
2018,Chevrolet,Impala 2LZ,19190,37089
2019,GMC,Terrain SLT,24000,21240
2017,Kia,Sorento SX V6,27960,17789
2018,Dodge,Durango GT,27400,34301
2017,GMC,Acadia SLE-2,26420,6131
2019,GMC,Acadia SLT-1,28100,11190
2017,GMC,Acadia Denali,27650,34508
2019,GMC,Acadia SLT-1,26710,27250
2019,Cadillac,XTS Luxury,25850,33605
2018,Cadillac,XT5 Premium Luxury,27810,28380
2018,Hyundai,Ioniq Hybrid SEL,19500,11763
2017,Nissan,Maxima 3.5 S,17899,36812
2019,Jeep,Cherokee Limited,22337,24166
2019,Chevrolet,Traverse LS,28487,26581
2019,Mazda,CX-5 Touring,26995,3163
2019,Cadillac,XTS Luxury,25850,33605
2018,Acura,RDX FWD w/Technology Package,29090,29680
2018,Hyundai,Tucson SEL,14999,38984
2018,Cadillac,XT5 Premium Luxury,27810,28380
2019,GMC,Acadia SLT-1,28380,17431
2019,Dodge,Durango GT Plus,28770,29360
2018,GMC,Terrain SLT,22500,27222
2017,Hyundai,Tucson SE Plus,20270,17529
2018,Dodge,Durango Citadel,29200,20077
2019,Chevrolet,Equinox 1LT,21270,22011
2018,Nissan,Maxima 3.5 SV,18088,34717
2018,Hyundai,Elantra SEL,12799,37909
2019,Chevrolet,Trax LT,15657,2141
2018,Mazda,Mazda6 Touring,23000,23500
2018,Hyundai,Elantra SEL,13590,39175
2017,Chevrolet,Trax LS,12495,34078
2019,Kia,Sportage EX,25990,2836
2018,Hyundai,Tucson SEL,16990,37386
2017,Chevrolet,Cruze LT,13500,12374
2018,Mazda,Mazda6 Touring,21888,36813
2017,Buick,Encore Preferred,14988,15688
2018,Nissan,Maxima 3.5 SV,19288,36229
2019,Dodge,Durango GT Plus,28580,18375
2018,Ford,Fusion Energi SE Luxury,18398,11900
2017,Chevrolet,Trax LS,13999,14799
2019,Kia,Optima LX,16900,21758
2019,Hyundai,Santa Fe SEL Plus 2.4,28000,4195
2019,GMC,Acadia SLE-1,28473,5378
2017,Hyundai,Elantra Limited,14900,16250
2019,Jeep,Cherokee Latitude,16800,17500
2017,Buick,Regal Turbo Premium II,16988,27656
2018,Nissan,Murano SV,22998,23998
2018,Nissan,Murano Platinum,29360,26508
2018,Hyundai,Tucson SEL,17900,18798
2017,GMC,Acadia SLT-1,27370,31598
2017,Volkswagen,Golf Alltrack TSI SEL 4Motion Wagon,22500,23080
2018,GMC,Acadia SLT-1,26730,30966
2017,GMC,Acadia SLT-1,25980,30327
2018,GMC,Terrain SLE,21530,3138
2017,Cadillac,XT5 Luxury FWD,29070,16191
2018,Chrysler,300 Limited,19350,26397
2018,Hyundai,Tucson SEL,15999,16532
2017,Hyundai,Sonata Limited,19180,28399
2019,Mazda,CX-5 Grand Touring,25794,18103
2019,Chevrolet,Equinox 1LT,21270,22011
2019,Chrysler,300 S,24999,25976
2019,Jeep,Cherokee Latitude Plus,18999,28621
2018,Cadillac,XT5 Premium Luxury,27810,28380
2018,Hyundai,Elantra SEL,11197,35610
2017,Honda,Pilot EX,27663,35842
2019,Chevrolet,Equinox 1LT,20770,21406
2017,Cadillac,XT5 Premium Luxury FWD,29650,19084
2018,Chevrolet,Malibu LT,14190,30711
2019,Jeep,Compass Limited,21522,23990
2018,Chevrolet,Malibu LT,13990,38490
2018,Kia,Soul +,12690,38230
2018,Subaru,Outback 2.5i Premium,26500,13122
2019,Cadillac,XTS Luxury,27790,28969
2017,GMC,Acadia SLE-2,26420,6131
2018,Chevrolet,Equinox Premier,24290,12548
2018,Cadillac,XT5 Premium Luxury,27810,28380
2019,GMC,Acadia SLT-1,28100,11190
2017,BMW,X3 xDrive28i,29598,29162
2018,Hyundai,Ioniq Hybrid Limited,23500,8114
2017,BMW,X3 xDrive28i,29698,27406
2017,Buick,Encore Preferred,15689,16527
2019,Chevrolet,Malibu 1LS,16989,18289
2017,Buick,Encore Preferred,14989,24116
2019,Kia,Sorento LX,21989,18165
2017,Nissan,Maxima 3.5 Platinum,24489,23539
2019,Kia,Soul +,15489,11246
2019,Chevrolet,Equinox 1LT,21270,22011
2017,GMC,Acadia Denali,27890,23770
2018,Lincoln,MKX Reserve,28690,33807
2018,GMC,Acadia SLT-1,26730,30966
2018,Jeep,Renegade Latitude,18780,12630
2017,GMC,Acadia SLT-1,26420,19205
2019,Hyundai,Sonata Sport,21750,2512
2017,Hyundai,Sonata Limited,19180,28399
2018,Ford,Edge Titanium,22831,38070
2018,GMC,Terrain SLE,20790,23238
2017,Ford,Escape Titanium,20500,35678
2018,Honda,Civic EX,17584,10637
2018,Subaru,Outback 2.5i Premium,26200,6758
2020,Kia,Soul GT-Line,19400,310
2017,GMC,Acadia SLT-1,26420,19205
2018,Jeep,Compass Limited,23150,16667
2018,Dodge,Durango GT,27980,15342
2018,Chevrolet,Cruze Premier,15800,22215
2017,Kia,Sportage SX Turbo,24320,17816
2017,GMC,Acadia SLT-1,29200,21365
2019,Chevrolet,Impala 1LT,19570,23438
2017,Chevrolet,Malibu 1LS,16360,14592
2018,Buick,Encore Preferred,16810,13890
2017,Audi,A4 Premium Plus,29680,23128
2017,Cadillac,XT5 Luxury FWD,27290,27850
2017,Kia,Sportage SX Turbo,24320,17816
2018,Chevrolet,Cruze LT,14998,30499
2019,Dodge,Charger GT,26490,15533
2019,Honda,Civic Sport,18499,12117
2018,Honda,Fit EX,17250,5502
2017,GMC,Acadia SLE-2,26420,6131
2017,GMC,Acadia Denali,27890,23770
2017,Chevrolet,Malibu Premier,19980,18993
2017,Kia,Sorento EX,19780,24538
2017,Nissan,Murano SV,21450,29761
2017,Kia,Sportage SX Turbo,24320,17816
2017,Kia,Optima SX Limited,22730,31722
2018,Buick,Encore Preferred,16810,13890
2017,Audi,A4 Premium Plus,29680,23128
2018,Nissan,Rogue S,17880,26087
2017,Volkswagen,Golf Alltrack TSI SEL 4Motion Wagon,22500,23080
2020,Kia,Soul GT-Line,19400,310
2017,Chevrolet,Volt Premier,19797,31256
2018,Hyundai,Elantra SEL,15290,23757
2018,Kia,Optima LX,14995,24842
2017,Hyundai,Elantra Value Edition,14000,14500
2019,GMC,Terrain SLT,29880,2735
2017,Hyundai,Santa Fe SE,19995,17301
2018,Hyundai,Tucson SEL,16788,36458
2019,Honda,Accord Hybrid EX,27988,222
2019,Subaru,Crosstrek 2.0i Premium,26998,9730
2017,GMC,Acadia SLE-2,26420,6131
2017,Nissan,Maxima 3.5 SV,19788,35106
2017,GMC,Acadia Denali,27890,23770
2017,Chevrolet,Malibu 1LS,12999,39687
2018,Nissan,Murano SV,17799,18990
2017,Chevrolet,Sonic LT,12995,27354
2019,GMC,Acadia SLE-1,28649,6525
2019,Subaru,Crosstrek 2.0i Premium,24443,9286
2018,Dodge,Durango SXT,26988,12116
2018,Hyundai,Tucson SEL,18100,37929
2017,GMC,Acadia Denali,27890,23770
2017,Cadillac,XT5 Luxury FWD,27290,27850
2017,Cadillac,XT5 Luxury FWD,27540,24179
2017,Kia,Sportage SX Turbo,24320,17816
2018,GMC,Terrain SLT,22500,27222
2019,Buick,Regal TourX Essence,25520,12571
2019,GMC,Acadia SLT-1,28100,11190
2018,Jeep,Compass Limited,23150,16667
2018,Buick,Encore Preferred,16810,13890
2017,Audi,A4 Premium Plus,29680,23128
2018,Chevrolet,Cruze LT,15810,15811
2017,GMC,Acadia SLT-1,29200,21365
2020,Kia,Soul GT-Line,19400,310
2019,GMC,Acadia SLT-1,29980,30980
2017,Chevrolet,Malibu Premier,19580,25255
2018,Nissan,Maxima 3.5 SV,18916,37129
2019,Kia,Soul +,15835,9386
2017,Chevrolet,Cruze Premier,16655,34492
2017,Cadillac,XT5 Luxury FWD,29070,16191
2017,Hyundai,Sonata Base,12690,32629
2018,Chrysler,300 S,19290,19990
2018,Chevrolet,Equinox 1LT,19780,29786
2018,Hyundai,Kona Ultimate,24690,3197
2018,Buick,Encore Preferred,16810,13890
2019,GMC,Terrain SLT,23730,15477
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2017,Hyundai,Elantra Limited,15840,27462
2017,Hyundai,Elantra Limited,16980,6921
2019,GMC,Acadia SLT-1,28920,13733
2018,Chevrolet,Equinox 1LT,18980,20135
2017,Chevrolet,Volt LT,16988,35801
2017,Hyundai,Sonata Limited,18999,35579
2019,Kia,Sorento LX,20789,13253
2017,Chevrolet,Malibu 1LT,16789,19713
2019,GMC,Terrain SLE,24195,7007
2018,Chevrolet,Equinox 1LT,21760,28626
2019,GMC,Terrain SLT,23820,13125
2017,Kia,Sportage SX Turbo,24320,17816
2018,Mercedes-Benz,CLA 250 Base 4MATIC,27259,25958
2018,Jeep,Compass Limited,23150,16667
2017,GMC,Acadia SLT-1,25980,30327
2018,Buick,Encore Preferred,16810,13890
2017,Audi,A4 Premium,21290,35520
2019,Nissan,Altima 2.5 Platinum,26690,5775
2017,Audi,A4 Premium Plus,29680,23128
2018,Buick,Encore Essence,17310,28366
2017,GMC,Acadia SLT-1,29200,21365
2020,Kia,Soul GT-Line,19400,310
2019,Lincoln,MKZ Reserve I,26360,22734
2019,Honda,Civic EX,19998,10
2018,Nissan,Maxima 3.5 SV,21990,19174
2018,Honda,Accord Sport 2.0T,24300,18176
2018,Chevrolet,Volt LT,20980,23276
2019,Chevrolet,Equinox 1LT,18600,25793
2018,Chrysler,300 Limited,19350,26397
2017,Kia,Sorento EX,19780,24538
2017,Kia,Niro Touring,23230,25737
2017,Chevrolet,Malibu 1LT,16710,34114
2017,GMC,Acadia Denali,27890,23770
2018,Chrysler,300 Limited,22290,22980
2018,Dodge,Durango GT,28210,9310
2018,Lincoln,MKX Reserve,28690,33807
2017,Hyundai,Elantra Limited,15840,27462
2018,Cadillac,ATS 3.6L Premium Luxury,27130,20426
2017,Hyundai,Sonata Limited,19180,28399
2018,Nissan,Murano SV,18499,32941
2019,Hyundai,Tucson SE,16999,23713
2018,Dodge,Charger SXT Plus,19999,31526
2018,Cadillac,XT5 Premium Luxury,29884,32457
2018,Honda,Civic EX-L,20990,7612
2019,Hyundai,Santa Fe SE 2.4,18990,34129
2019,GMC,Terrain SLE,22503,7809
2018,Chevrolet,Malibu LT,18998,33948
2019,Hyundai,Santa Fe SE 2.4,20800,21359
2018,Nissan,Rogue SV,17988,37958
2017,Audi,A4 Premium,21580,20885
2017,Cadillac,XT5 Premium Luxury FWD,29650,19084
2018,Nissan,Murano SV,17999,18599
2017,Hyundai,Tucson Limited,24330,6937
2017,Hyundai,Elantra Limited,16980,6921
2017,Cadillac,XT5 Luxury FWD,29070,16191
2017,Hyundai,Elantra Limited,15840,27462
2019,GMC,Terrain SLT,23260,15926
2018,Nissan,Rogue S,13690,38706
2018,Nissan,Rogue S,13690,38576
2018,Nissan,Maxima 3.5 SV,17988,38628
2017,Chevrolet,Impala 1LT,14690,31381
2018,Hyundai,Elantra SEL,12999,39314
2018,Nissan,Rogue SV,14599,38555
2018,Nissan,Leaf SV,21000,21500
2017,Chevrolet,Malibu Premier,20149,14585
2019,Buick,Encore Sport Touring,18190,20645
2018,Dodge,Durango SXT,26588,32095
2019,Hyundai,Santa Fe SE 2.4,19998,21645
2018,Nissan,Murano SV,20488,37237
2018,Ford,Focus SEL,14988,15051
2018,FIAT,500X Urbana Edition,15650,38723
2017,Kia,Sorento SX V6,27960,17789
2018,Hyundai,Santa Fe Limited Ultimate,29960,11039
2019,Chevrolet,Malibu Premier,24440,7042
2018,Honda,CR-V EX,24800,11700
2017,Mercedes-Benz,B 250e,19485,13983
2018,Chevrolet,Equinox 1LT,14987,15989
2019,Nissan,Altima 2.5 S,19000,19500
2019,Hyundai,Sonata SE,18500,4208
2018,Subaru,Outback 2.5i,23443,15855
2019,Mazda,CX-5 Touring,25988,5624
2018,Hyundai,Santa Fe Sport 2.0T Ultimate,26800,7417
2019,Hyundai,Sonata SEL,19700,6273
2018,Chevrolet,Cruze Premier,16460,30160
2017,GMC,Acadia Denali,27650,34508
2018,GMC,Terrain SLE,20790,23238
2018,Dodge,Durango SXT,26690,27712
2018,Hyundai,Tucson SEL,15999,17166
2018,Nissan,Murano SL,23999,24958
2017,Lincoln,MKC Select,21530,31373
2017,Chevrolet,Malibu Premier,19980,18993
2019,Dodge,Durango GT,29999,31879
2018,Ford,Edge Titanium,22599,23512
2019,Hyundai,Kona SE,18411,16926
2019,Chevrolet,Equinox Premier,23520,13985
2019,Hyundai,Sonata Sport,21750,2512
2017,Cadillac,XT5 Luxury FWD,27540,24179
2018,Nissan,Rogue S,14280,32887
2017,Chevrolet,Cruze Premier,15742,19616
2018,Subaru,Crosstrek 2.0i Limited,28917,6359
2018,Honda,Civic EX-L w/Navi,20985,25511
2019,Kia,Sorento LX,23020,9331
2018,Lincoln,MKX Reserve,28690,33807
2018,Hyundai,Santa Fe Sport 2.4L,23700,18888
2019,GMC,Acadia SLT-1,28800,13080
2017,Audi,A4 Premium,21580,20885
2017,Cadillac,XT5 Luxury FWD,27190,27223
2018,Honda,Accord Sport 2.0T,26380,11322
2018,Dodge,Charger R/T,22990,32115
2018,Chevrolet,Malibu LT,17999,38626
2017,Chevrolet,Cruze LT,15389,18970
2019,GMC,Acadia SLT-1,28100,11190
2018,Chevrolet,Cruze Premier,16460,30160
2018,Chevrolet,Volt LT,20980,23276
2018,Dodge,Durango GT,27400,34301
2019,Lincoln,MKZ Reserve I,26360,27845
2018,Chevrolet,Cruze Premier,15800,22215
2019,Dodge,Durango GT Plus,28440,13249
2017,Chevrolet,Malibu 1LS,16360,14592
2017,Nissan,Maxima 3.5 SV,20980,37181
2019,Chevrolet,Equinox LS,19780,5637
2017,Hyundai,Elantra Limited,16980,6921
2019,Ford,Fusion Hybrid SE,23750,4783
2017,Buick,Encore Preferred,16471,14306
2018,Honda,Accord EX,22583,11077
2018,Chevrolet,Equinox 1LT,15490,30498
2017,Nissan,Maxima 3.5 SV,20980,37181
2019,Toyota,RAV4 Adventure,29380,12469
2017,Hyundai,Elantra Limited,16980,6921
2019,GMC,Terrain SLT,23260,15926
2019,Chevrolet,Equinox 1LT,20770,21406
2018,GMC,Terrain SLE,20790,23238
2019,Chevrolet,Impala 1LT,19260,26352
2019,GMC,Acadia SLT-1,29980,30980
2018,GMC,Terrain Denali,29160,27973
2017,Cadillac,XT5 Luxury FWD,27190,27223
2018,Dodge,Durango SXT,26690,27712
2017,Cadillac,XT5 Premium Luxury FWD,29650,19084
2019,Chevrolet,Equinox Premier,23520,13985
2017,Hyundai,Santa Fe Sport 2.0L Turbo,21980,31806
2019,Mazda,CX-5 Grand Touring,27370,15517
2019,Chevrolet,Impala 1LT,20480,19226
2018,GMC,Terrain SLE,20790,23238
2018,Chevrolet,Equinox 1LT,18887,17524
2018,GMC,Terrain SLT,22888,37042
2019,Chevrolet,Equinox 1LT,20770,21406
2018,Hyundai,Tucson SEL,14999,39527
2018,Volkswagen,Golf SportWagen TSI S Wagon Auto,17970,12284
2018,Cadillac,ATS 3.6L Premium Luxury,27130,27680
2019,GMC,Terrain SLT,23730,15477
2017,Cadillac,XT5 Luxury FWD,27190,27223
2019,Chevrolet,Equinox Premier,23520,13985
2018,Nissan,Maxima 3.5 SV,18795,34293
2018,Nissan,Maxima 3.5 SV,18477,20841
2018,Chrysler,300 S,19890,34006
2019,Chevrolet,Equinox 1LT,21418,23277
2019,Honda,Fit EX,18988,7173
2019,Hyundai,Kona SE,19998,2615
2018,Honda,Fit Sport,16387,26790
2018,Chevrolet,Equinox 1LT,20310,9495
2018,Dodge,Durango GT,26860,38728
2018,Chevrolet,Equinox 1LT,15751,16998
2019,Hyundai,Santa Fe XL SE,26800,1943
2018,GMC,Acadia SLE-1,23799,5315
2018,Chevrolet,Trax LT,15999,16888
2018,Hyundai,Santa Fe Limited Ultimate,28900,7700
2017,Buick,Encore Preferred,15488,14567
2018,Lincoln,MKX Reserve,28690,33807
2018,Chevrolet,Cruze Premier,15800,22215
2019,Kia,Sorento LX,23020,9331
2017,Chevrolet,Cruze LT,15200,16599
2018,Hyundai,Tucson SEL,17400,34834
2018,Chevrolet,Cruze LT,15190,13659
2019,GMC,Terrain SLT,23260,12222
2019,Chevrolet,Equinox Premier,23520,13985
2017,Hyundai,Elantra Limited,16980,6921
2017,Chevrolet,Malibu Premier,20470,18670
2018,Subaru,Outback 2.5i Premium,23998,14182
2018,Hyundai,Kona Ultimate,24690,3197
2018,Volkswagen,Tiguan 2.0T SE,19999,20639
2019,Hyundai,Sonata Sport,21750,2512
2019,Nissan,Altima 2.5 Platinum,26690,5775
2017,Cadillac,XT5 Premium Luxury FWD,29650,19084
2019,Nissan,Maxima 3.5 SV,23700,24677
2017,Cadillac,ATS 2.0L Turbo,20680,14756
2018,GMC,Acadia SLT-2,27940,21852
2018,Chevrolet,Cruze LT,14388,38323
2018,Chevrolet,Malibu LT,14190,31574
2017,Honda,Accord EX,17987,18536
2018,Buick,Regal Sportback Essence,22600,18785
2017,Lincoln,MKC Select,21530,31373
2017,GMC,Acadia Denali,27890,23770
2017,Chevrolet,Cruze LT,15200,16599
2017,Hyundai,Santa Fe Sport 2.0L Turbo,21980,31806
2018,Nissan,Maxima SV,19260,38200
2019,GMC,Terrain SLT,23260,15926
2018,Chevrolet,Malibu LT,14290,33162
2019,Kia,Forte LXS,16600,8954
2018,Chevrolet,Malibu LT,15290,32509
2017,GMC,Acadia SLT-1,27990,19933
2018,Chevrolet,Malibu LT,17999,39334
2018,Chevrolet,Malibu Hybrid,20999,14876
2017,Chevrolet,Malibu 1LS,14977,32592
2019,Kia,Sorento LX,22389,15837
2019,Kia,Sorento LX,22489,16552
2019,Kia,Sorento LX,20989,14168
2019,Kia,Sorento LX,21389,11984
2018,Hyundai,Kona Ultimate,23274,20863
2018,Nissan,Murano SV,20917,32026
2018,Chevrolet,Cruze LS,15500,10744
2019,GMC,Terrain SLT,22780,23480
2019,Cadillac,XTS Luxury,25340,30937
2017,Chevrolet,Cruze LT,15200,16599
2019,Mazda,CX-5 Grand Touring,27370,15517
2018,Chevrolet,Cruze LT,15190,13659
2018,Kia,Optima SX,24550,14853
2019,GMC,Terrain SLT,23260,12222
2019,GMC,Acadia SLT-1,29980,30980
2017,Kia,Sorento SX V6,27960,17789
2018,Volkswagen,Golf SportWagen TSI S Wagon Auto,17970,12284
2018,Honda,Accord Sport 2.0T,26380,11322
2018,GMC,Acadia SLT-2,27940,21852
2018,Buick,Regal Sportback Preferred II,24244,3464
2018,Nissan,Rogue SV,16811,31149
2018,Nissan,Kicks SV,17611,18490
2019,Subaru,Legacy 2.5i Premium,23990,24900
2019,Chevrolet,Impala 1LT,20480,19226
2018,Kia,Optima SX,24550,14853
2018,Volkswagen,Golf SportWagen TSI S Wagon Auto,17970,12284
2019,Nissan,Altima 2.5 Platinum,26690,5775
2019,GMC,Acadia SLT-1,29780,11613
2019,Mazda,CX-5 Grand Touring,27370,15517
2017,Lincoln,MKC Select,22300,14885
2019,Dodge,Durango GT Plus,28440,13249
2017,Hyundai,Tucson Limited,22570,32093
2018,Nissan,Maxima Platinum,29670,30430
2018,Honda,Accord EX-L 2.0T,25820,16674
2018,Lincoln,MKZ Select,26690,9524
2018,Kia,Optima SX,24550,14853
2018,Cadillac,XT5 Premium Luxury,27810,28380
2018,GMC,Acadia SLT-2,27940,21852
2019,Chevrolet,Equinox 1LT,20480,12990
2019,GMC,Terrain SLT,23730,15477
2018,GMC,Terrain SLE,21871,8599
2019,Hyundai,Kona SE,16850,30021
2018,Nissan,Rogue SV,17988,38903
2019,Nissan,Altima 2.5 Platinum,26690,5775
2018,Dodge,Charger R/T,23750,32761
2017,Chevrolet,Malibu 1LT,16710,34114
2018,Hyundai,Tucson SEL,14999,38180
2018,Chevrolet,Cruze LT,15810,15811
2019,Dodge,Durango GT Plus,28440,13249
2018,GMC,Acadia SLT-2,27940,21852
2017,Lincoln,MKC Select,21530,31373
2017,Cadillac,XT5 Luxury FWD,27540,24179
2019,Jeep,Compass Trailhawk,22300,30570
2018,Chevrolet,Impala 1LT,15988,38158
2018,Chevrolet,Equinox 1LT,15690,31158
2017,Subaru,Impreza 2.0i Sport,18900,19813
2019,Mazda,CX-5 Grand Touring,27500,28000
2018,Honda,Accord EX-L,25990,6659
2018,Mazda,Mazda6 Touring,20995,35654
2017,Nissan,Maxima 3.5 SV,19998,20988
2018,Hyundai,Kona Ultimate,24690,3197
2017,Hyundai,Santa Fe Sport 2.0L Turbo,21980,31806
2018,Nissan,Rogue SV,14298,14889
2018,Hyundai,Tucson SEL,16816,35966
2018,Kia,Niro Plug-In Hybrid LX,25995,14340
2019,Hyundai,Kona SE,19800,19
2017,Hyundai,Sonata Limited,19998,18467
2019,Jeep,Cherokee Latitude Plus,16600,17900
2018,Honda,Civic EX,21442,8547
2017,Hyundai,Elantra SE,13771,21770
2018,Mazda,Mazda6 Touring,19988,36575
2017,Chevrolet,Malibu 1LS,14988,37406
2018,Cadillac,ATS 3.6L Premium Luxury,27130,20426
2017,Hyundai,Santa Fe Sport 2.0L Turbo,21980,31806
2019,Dodge,Durango GT Plus,28770,29360
2018,Nissan,Rogue S,15999,16858
2019,Chevrolet,Equinox LS,19780,5637
2019,Jeep,Compass Trailhawk,20535,32412
2018,Kia,Optima SX,24550,14853
2017,Genesis,G80 3.8L,29970,25232
2018,Chrysler,300 S,20270,37228
2018,Volkswagen,Golf SportWagen TSI S Wagon Auto,17970,12284
2018,Dodge,Durango GT,27980,15342
2017,Lincoln,MKC Reserve,23970,35369
2017,Chevrolet,Malibu 1LT,16710,34114
2017,Volkswagen,Passat 1.8T SE,15950,33916
2019,Nissan,Maxima SL,25960,16361
2018,Nissan,Maxima Platinum,29670,30430
2018,Honda,Accord Sport,22999,32383
2018,Subaru,Legacy 2.5i Premium,21800,7189
2018,Volkswagen,Golf SportWagen TSI S Wagon Auto,17970,12284
2019,Nissan,Altima 2.5 Platinum,26690,5775
2018,GMC,Terrain SLT,22500,27222
2019,GMC,Terrain SLT,22780,23480
2017,Cadillac,ATS 2.0L Turbo,20680,14756
2019,Cadillac,XTS Luxury,25850,33605
2017,Kia,Sportage SX Turbo,24320,17816
2019,Chevrolet,Equinox Premier,23520,13985
2019,Hyundai,Elantra SEL,14288,31501
2018,Chevrolet,Malibu LT,13990,30076
2017,Chevrolet,Trax Premier,17999,31624
2018,Kia,Forte LX,15155,2487
2018,Subaru,Impreza 2.0i Sport,22988,27024
2018,Chevrolet,Cruze LT,15789,19436
2019,Nissan,Sentra SR,15789,18537
2019,Hyundai,Elantra SEL,16000,19560
2017,Chevrolet,Volt LT,18499,18454
2018,Mercedes-Benz,GLA 250 Base 4MATIC,29991,8998
2018,Buick,Regal Sportback Essence,22600,18785
2017,Hyundai,Santa Fe Sport 2.0L Turbo,21980,31806
2018,Cadillac,ATS 3.6L Premium Luxury,27130,20426
2019,Chevrolet,Equinox Premier,23520,13985
2019,Dodge,Durango GT Plus,28770,29360
2018,Chrysler,300 Limited,19350,26397
2017,Kia,Sorento SXL V6,27140,27980
2017,Kia,Niro Touring,23230,25737
2017,Cadillac,XT5 Luxury FWD,27540,24179
2018,Honda,Accord EX-L 2.0T,25820,16674
2018,Nissan,Maxima SV,19260,38200
2017,Volkswagen,Passat 1.8T SE,15950,33916
2019,Chevrolet,Equinox 1LT,17988,19988
2019,Subaru,Outback 2.5i Premium,28990,29490
2018,Chevrolet,Equinox 1LT,15390,38823
2017,Chevrolet,Malibu Premier,19580,25255
2019,Jeep,Compass Trailhawk,22300,30570
2019,Chevrolet,Equinox 1LT,20480,12990
2019,Cadillac,CTS Luxury RWD,28960,13120
2019,Nissan,Maxima SV,24330,17412
2017,Hyundai,Tucson Limited,24330,6937
2017,Lincoln,MKC Select,21530,31373
2019,GMC,Terrain SLT,24960,765
2018,GMC,Terrain SLT,22500,27222
2017,Hyundai,Tucson Limited,22500,23080
2017,Kia,Sorento LX,17700,23840
2019,Jeep,Compass Limited,20570,31219
2019,GMC,Terrain SLT,23820,13125
2017,Kia,Sorento LX V6,22800,9759
2017,Buick,Envision Essence,21940,22500
2017,Hyundai,Tucson SE Plus,19970,17529
2018,Nissan,Maxima SV,19260,38200
2017,Chevrolet,Malibu Premier,20470,18670
2018,Kia,Niro EX,21600,18754
2018,Subaru,Outback 2.5i Premium,23550,13604
2018,Hyundai,Kona Ultimate,24690,3197
2019,Toyota,RAV4 XLE,23740,11711
2019,Cadillac,CTS Luxury RWD,28960,13120
2017,Hyundai,Tucson Limited,22500,23080
2018,Nissan,Maxima SV,19260,38200
2017,Hyundai,Tucson Limited,22570,32093
2017,Cadillac,XT5 Luxury FWD,27290,27850
2018,Honda,Accord EX-L 2.0T,25820,16674
2017,Cadillac,XT5 Luxury FWD,28490,29070
2018,Chevrolet,Cruze LT,11588,39121
2017,Chevrolet,Volt LT,16995,24474
2019,FIAT,500L Trekking,18895,10
2019,Hyundai,Tucson Value,19500,10412
2018,Hyundai,Tucson SEL,16990,36815
2018,Chevrolet,Equinox 1LT,14995,32137
2018,Chevrolet,Equinox 1LT,15290,29691
2019,Volkswagen,Jetta 1.4T S,14995,12226
2017,BMW,X3 xDrive28i,27999,31410
2018,Honda,Accord Sport 2.0T,26380,11322
2018,Dodge,Durango GT,27980,15342
2017,Hyundai,Tucson SE Plus,19970,17529
2017,Chevrolet,Malibu Premier,19580,25255
2019,Hyundai,Sonata SE,17988,23277
2019,Volkswagen,Passat 2.0T Wolfsburg Edition,19550,16539
2019,Honda,HR-V Sport,20691,8013
2018,Chrysler,300 S,19299,34923
2017,BMW,X3 xDrive28i,28992,39486
2019,Chevrolet,Blazer 1LT,29988,7879
2017,Chevrolet,Cruze LT,12999,13670
2019,Jeep,Cherokee Latitude Plus,16800,35233
2018,Nissan,Rogue SV,17212,18895
2017,Chevrolet,Volt LT,18200,18264
2018,Kia,Forte SX,18800,23854
2018,Nissan,Maxima SV,19260,38200
2018,Chevrolet,Malibu LT,14995,30094
2017,Lincoln,MKC Select,22300,14885
2018,Chrysler,300 Limited,22290,22980
2018,Chevrolet,Volt LT,20980,23276
2017,GMC,Acadia SLT-1,27599,37728
2019,Toyota,RAV4 XLE,23740,11711
2017,Chrysler,300 S,23000,18493
2019,GMC,Terrain SLT,23730,16253
2019,Nissan,Maxima SV,24330,17412
2018,Nissan,Rogue SV,17142,34233
2017,Buick,Envision Essence,21940,22500
2017,Hyundai,Elantra Limited,15840,27462
2017,Hyundai,Tucson Limited,22500,23080
2019,Hyundai,Tucson SE,19100,20654
2018,Honda,CR-V EX,25988,14115
2019,Chevrolet,Equinox LS,19780,5637
2019,Nissan,Altima 2.5 Platinum,26690,5775
2017,Chevrolet,Cruze LT,14995,14421
2017,Hyundai,Tucson SE Plus,19970,17529
2017,Chevrolet,Malibu Premier,19980,18993
2019,Hyundai,Kona SE,16582,16331
2018,Nissan,Maxima 3.5 SV,19370,39171
2017,Chevrolet,Cruze LT,13985,14985
2019,Chevrolet,Equinox Premier,21980,19542
2018,Dodge,Durango SXT,26690,27712
2019,Mazda,CX-5 Grand Touring,27370,15517
2019,Hyundai,Santa Fe SE 2.4,18881,19798
2018,Jeep,Grand Cherokee Altitude,29988,11670
2017,Chevrolet,Volt LT,17522,27033
2017,Kia,Niro Touring,23999,23197
2018,GMC,Terrain SLE,19989,19457
